Location,Address,Postal_Code,Latitude,Longitude,Day,Time,Time_Start,Time_End,Company,updated_time_start,updated_time_end
Seng Kang Zone E ,Blk 351 Anchorvale Road,540351,1.393327866,103.8866176,4th Sunday of the month,8am to 1pm,8am,1pm,ezi,800,1300
Seng Kang Zone K ,"Blk 326C Anchorvale Road #01-280, S543326",543326,1.395717128,103.8880654,2nd Saturday of the month,10am to 1pm,10am,1pm,ezi,1000,1300
Seng Kang West Zone B ,"Blk 325C Sengkang E Way #01-627, S543326",543326,1.395717128,103.8880654,1st Sunday of the month,10am to 1pm,10am,1pm,ezi,1000,1300
Spottiswoode Park RC ,"Blk 104 Spottiswoode Park Road, Void Deck",80104,1.274427547,103.8348788,2nd Sunday of the month,10am to 12:30pm,10am,12:30pm,ezi,1000,2430
Tanjong Pagar Everton Park RC ,"Blk 6 Everton Park #01-04, S080006",80006,1.276673811,103.8387891,1st Sunday of the month,9am to 12pm,9am,12pm,ezi,900,1200
Ulu Pandan CC ,"Blk 17 Ghim Moh Road, S270017",270017,1.309892259,103.7874322,1st Saturday of the month,10am to 1pm,10am,1pm,ezi,1000,1300
West Coast Height RN ,"Blk 511, West Coast Height, West Coast Drive, S120511",120511,1.310320167,103.7604116,1st Saturday of the month,10am to 12pm,10am,12pm,ezi,1000,1200
Waterway RN ,"308A Punggol Walk, 821308",821308,1.407754255,103.9009062,1st Saturday of the month,10:30am to 1:30pm,10:30am,1:30pm,ezi,1030,1330
Whampoa Gardens RC ,"Blk 115 Whampoa Road #01-115, S320115",320115,1.326263577,103.8573375,Last Saturday of the month,1:30pm to 4:30pm,1:30pm,4:30pm,ezi,1330,1630
Whampoa Rajah Court RC ,"Blk 105 Jalan Rajah RC Centre, S320105",320105,1.3285791,103.8538725,Last Saturday of the month,2pm to 4pm ,2pm,4pm ,ezi,1400,1600
Blk 71 Bedok South Road,Blk 71 Bedok South Road,460071,1.320416017,103.9427323,Every Last Sunday of the Month,1300 ‐ 1500H,1300,1500H,800super,1300,1500
Blk 765 Bedok Reservoir View,Blk 765 Bedok Reservoir View,470765,1.335961068,103.9359901,Every Last Sunday of the Month,0900 ‐ 1000H,900,1000H,800super,900,1000
Blk 627 Bedok Reservoir Rd,Blk 627 Bedok Reservoir Rd,470627,1.333961867,103.9155993,Every Last Sunday of the Month,1000 ‐ 1200H,1000,1200H,800super,1000,1200
Blk 37 Bedok South Ave 2,Blk 37 Bedok South Ave 2,460037,1.321906636,103.9398472,Every Third Sunday of the Month,1000 ‐ 1200H,1000,1200H,800super,1000,1200
Blk 221A Bedok Central,Blk 221A Bedok Central,461221,1.325203716,103.9347722,Every Third Saturday of the Month,1000 ‐ 1200H,1000,1200H,800super,1000,1200
Blk 185 Bedok North Road,Blk 185 Bedok North Road,460185,1.326237253,103.9408276,Every Third Sunday of the Month,1200 ‐ 1430H,1200,1430H,800super,1200,1430
Blk 93 Bedok North Ave 4,Blk 93 Bedok North Ave 4,460093,1.332888999,103.9413097,Every Second Sunday of the Month,1000 ‐ 1200H,1000,1200H,800super,1000,1200
Blk 202 Bedok North Street 1,Blk 202 Bedok North Street 1,460202,1.325656284,103.927991,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 33 Bedok South Ave 2,Blk 33 Bedok South Ave 2,460033,1.322837033,103.9391245,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 124 Bedok North Road,Blk 124 Bedok North Road,460124,1.329258819,103.9390464,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 418 Tampines Street 41,Blk 418 Tampines Street 41,520418,1.358272213,103.9473089,Last Saturday of the month,0900 - 1200H,900,1200H,800super,900,1200
Blk 430 Tampines Street 41,Blk 430 Tampines Street 41,520430,1.359552581,103.9501482,2nd Saturday of the month,0900 - 1200H,900,1200H,800super,900,1200
Blk 450 Tampines Street 42,Blk 450 Tampines Street 42,522450,1.357745297,103.9522297,1st Saturday of the month,0900 - 1200H,900,1200H,800super,900,1200
Blk 465 Tampines Street 44,Blk 465 Tampines Street 44,520465,1.359587151,103.9546642,1st Saturday of the month,0900 - 1200H,900,1200H,800super,900,1200
Blk 494B Tampines Ave 9,Blk 494B Tampines Ave 9,520494,1.36300829,103.9527049,last Saturday of the month,0900 - 1200H,900,1200H,800super,900,1200
Blk 497G Tampines Street 45,Blk 497G Tampines Street 45,525497,1.36034648,103.9597168,1st Sunday of the month,0900 - 1200H,900,1200H,800super,900,1200
Blk 155 Simei Road,Blk 155 Simei Road,520155,1.344699451,103.9582101,Every Third Sunday of the Month,1500 ‐ 1700H,1500,1700H,800super,1500,1700
Blk 527B Pasir Ris Street 51,Blk 527B Pasir Ris Street 51,512527,1.368994531,103.9477101,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 109 Pasir Ris Street 11,Blk 109 Pasir Ris Street 11,510109,1.36846368,103.9560091,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 567 Pasir Ris Street 51,Blk 567 Pasir Ris Street 51,510567,1.368993421,103.9491179,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 614 Elias Road,Blk 614 Elias Road,510614,1.375663177,103.9416273,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 766 Pasir Ris Street 71,Blk 766 Pasir Ris Street 71,510766,1.37573322,103.9360885,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 142B Pasir Ris Street 11,Blk 142B Pasir Ris Street 11,510142,1.363452585,103.9589017,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 429 Pasir Ris Drive 6,Blk 429 Pasir Ris Drive 6,510429,1.370073685,103.9567309,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 584A Pasir Ris Street 53,Blk 584A Pasir Ris Street 53,511584,1.374977968,103.9475177,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 229A Simei Street 4,Blk 229A Simei Street 4,522229,1.343515307,103.9565184,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 108 Simei Street 1,Blk 108 Simei Street 1,520108,1.343019541,103.9510074,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Simei CC,Simei CC,529915,1.345018678,103.9552298,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 139 Simei Street 1,Blk 139 Simei Street 1,520139,1.34668351,103.9565613,"RC event , Please refer to RC Notice Board for details",,,,800super,,
Blk 121 Ang Mo Kio Ave 3,Blk 121 Ang Mo Kio Ave 3,560121,1.369705635,103.843516,Once every 2 months. Please refer to RC Notice Board for details,,,,800super,,
Blk 127 Ang Mo Kio Ave 3,Blk 127 Ang Mo Kio Ave 3,560127,1.371223221,103.8435933,Once every 2 months. Please refer to RC Notice Board for details,,,,800super,,
Blk 212 Ang Mo Kio Ave 3,Blk 212 Ang Mo Kio Ave 3,560212,1.368803594,103.8416181,Once every 2 months. Please refer to RC Notice Board for details,,,,800super,,
Blk 639 Ang Mo Kio Ave 6,Blk 639 Ang Mo Kio Ave 6,560639,1.379917052,103.8424584,Once every 6 months. Please refer to RC Notice Board for details,,,,800super,,
Blk 714 Ang Mo Kio Ave 6,Blk 714 Ang Mo Kio Ave 6,560714,1.371096498,103.8462315,Once every 3 months. Please refer to RC Notice Board for details,,,,800super,,
Blk 612 Ang Mo Kio Ave 4,Blk 612 Ang Mo Kio Ave 4,560612,1.378907914,103.8386027,Once every 4 months Please refer to RC Notice Board for details,,,,800super,,
Blk 152b Bishan Street 11,Blk 152b Bishan Street 11,572152,1.345315545,103.8539851,Every Sunday of the month,0900 - 1300H,900,1300,800super,900,1300
Blk 261 Bishan Street 22,Blk 261 Bishan Street 22,570261,1.358983113,103.8433244,Every 3rd Sunday of the month,1300 - 1500H,1300,1500,800super,1300,1500
Blk 304 Shunfu Road,Blk 304 Shunfu Road,570304,1.350121705,103.8379424,Every 3rd Sunday of the month,0900 - 1200H,900,1200,800super,900,1200
Blk 36 lor 5 Toa Payoh,Blk 36 lor 5 Toa Payoh,310036,1.334821399,103.8552729,Every Last Sunday of the Month,1200H,1200,,800super,1200,
Blk 267 Kim Keat Avenue,Blk 267 Kim Keat Avenue,310267,1.331693557,103.8590284,Every Last Sunday of the Month,1130H,1130,,800super,1130,
Blk 204 Serangoon Central,Blk 204 Serangoon Central,550204,1.35243827,103.8732981,1st Saturday of the Month,0900 - 1100H,900,1100,800super,900,1100
Potong Pasir CC,6 Potong Pasir Ave 2,358361,1.332633815,103.8671517,Last Sunday of the Month,0900 - 1100H,900,1100,800super,900,1100
Blk 102 Potong Pasir Avenue 1,Blk 102 Potong Pasir Avenue 1,350102,1.333690127,103.8688106,1st Sunday of the month,0900 - 1100H,900,1100,800super,900,1100
Blk 113 Potong Pasir Avenue 1,Blk 113 Potong Pasir Avenue 1,350113,1.336055939,103.8635995,1st Sunday of the month,1100 - 1300,1100,1300,800super,1100,1300
CHUA CHU KANG TC,"Blk 323 Bukit Batok St 33, 650323",650323,1.361032221,103.7480914,Every Saturday,8AM - 12.45PM,800,1245,alba,800,1245
CHUA CHU KANG TC,Between Blk 448C & 449A Bukit Batok West Ave 9,653448,1.352722583,103.74124,Every Sunday,8AM - 12.45PM,800,1245,alba,800,1245
CHUA CHU KANG TC,"35 Teck Whye Avenue, 688892",688892,1.381154206,103.7519072,Every Saturday,8AM - 12.45PM,800,1245,alba,800,1245
CHUA CHU KANG TC,"Blk 414 Choa Chu Kang Ave 4, 680414",680414,1.382166605,103.7422483,Every Saturday,8AM - 12.45PM,800,1245,alba,800,1245
CHUA CHU KANG TC,"Blk 469 Choa Chu Kang Ave 3, 680469",680469,1.377794772,103.737379,Every Saturday,8AM - 12.45PM,800,1245,alba,800,1245
CHUA CHU KANG TC,"Blk 807B Choa Chu Kang Ave 1, 682807",682807,1.376044182,103.7451709,Every Sunday,8AM - 12.45PM,800,1245,alba,800,1245
CHUA CHU KANG TC,Blk 218 Choa Chu Kang Central 680218,680218,1.382837938,103.7458419,Every Sunday,8AM - 12.45PM,800,1245,alba,800,1245
CHUA CHU KANG TC,"Blk 15 Teck Whye Lane, 680015",680015,1.379133573,103.7547387,Every Sunday,8AM - 12.45PM,800,1245,alba,800,1245
HOLLAND BUKIT PANJANG TC,"Blk 9 Toh Yi Drive, 590009",590009,1.338304798,103.7735416,Every Sunday,8AM - 12.45PM,800,1245,alba,800,1245
HOLLAND BUKIT PANJANG TC,"Blk 543 Jelapang Road, 670543",670543,1.38249521,103.764046,Every Saturday,8AM - 12.45PM,800,1245,alba,800,1245
HOLLAND BUKIT PANJANG TC,"Blk 180 Lompang Road, 670180",670180,1.378853657,103.7647756,Every Saturday,8AM - 12.45PM,800,1245,alba,800,1245
HOLLAND BUKIT PANJANG TC,"Blk 527 Jelapang Road, Pangshan Valley, 670527",670527,1.386210492,103.7651126,Every Saturday,8AM - 12.45PM,800,1245,alba,800,1245
HOLLAND BUKIT PANJANG TC,Drop off shelter between Blk 636A & 636C Senja Road,670636,1.387341815,103.7579703,Every Saturday,8AM - 12.45PM,800,1245,alba,800,1245
